STATION,LINENAME,DATE,TIME,ENTRIES,EXITS
BEDFORD AV,L,02/11/2017,03:00:00,3133992,0001212388                                             
BEDFORD AV,L,02/11/2017,03:00:00,741611,0000782884                                             
BEDFORD AV,L,02/11/2017,03:00:00,18309917,0027402558                                             
BEDFORD AV,L,02/11/2017,03:00:00,15780359,0020257389                                             
BEDFORD AV,L,02/11/2017,03:00:00,12834104,0013759516                                             
BEDFORD AV,L,02/11/2017,03:00:00,21703115,0011485475                                             
BEDFORD AV,L,02/11/2017,03:00:00,6430341,0001290348                                             
BEDFORD AV,L,02/11/2017,03:00:00,67317454,0016782565                                             
BEDFORD AV,L,02/11/2017,03:00:00,117460421,0000004224                                             
BEDFORD AV,L,02/11/2017,03:00:00,1165148,0002545762                                             
BEDFORD AV,L,02/11/2017,03:00:00,36834,0000072971                                             
BEDFORD AV,L,02/11/2017,03:00:00,931365,0002131742                                             
BEDFORD AV,L,02/11/2017,03:00:00,401311,0000463831                                             
BEDFORD AV,L,02/11/2017,07:00:00,3134118,0001212410                                             
BEDFORD AV,L,02/11/2017,07:00:00,741706,0000782937                                             
BEDFORD AV,L,02/11/2017,07:00:00,18309979,0027402615                                             
BEDFORD AV,L,02/11/2017,07:00:00,15780423,0020257461                                             
BEDFORD AV,L,02/11/2017,07:00:00,12834176,0013759565                                             
BEDFORD AV,L,02/11/2017,07:00:00,21703229,0011485529                                             
BEDFORD AV,L,02/11/2017,07:00:00,6430488,0001290411                                             
BEDFORD AV,L,02/11/2017,07:00:00,67317461,0016782566                                             
BEDFORD AV,L,02/11/2017,07:00:00,117460426,0000004224                                             
BEDFORD AV,L,02/11/2017,07:00:00,1165185,0002545813                                             
BEDFORD AV,L,02/11/2017,07:00:00,36865,0000073017                                             
BEDFORD AV,L,02/11/2017,07:00:00,931383,0002131782                                             
BEDFORD AV,L,02/11/2017,07:00:00,401334,0000463851                                             
BEDFORD AV,L,02/11/2017,11:00:00,3134432,0001212477                                             
BEDFORD AV,L,02/11/2017,11:00:00,741866,0000783139                                             
BEDFORD AV,L,02/11/2017,11:00:00,18310053,0027402967                                             
BEDFORD AV,L,02/11/2017,11:00:00,15780508,0020257795                                             
BEDFORD AV,L,02/11/2017,11:00:00,12834326,0013759900                                             
BEDFORD AV,L,02/11/2017,11:00:00,21703526,0011485954                                             
BEDFORD AV,L,02/11/2017,11:00:00,6431038,0001290639                                             
BEDFORD AV,L,02/11/2017,11:00:00,67317554,0016782567                                             
BEDFORD AV,L,02/11/2017,11:00:00,117460447,0000004229                                             
BEDFORD AV,L,02/11/2017,11:00:00,1165367,0002546170                                             
BEDFORD AV,L,02/11/2017,11:00:00,37003,0000073326                                             
BEDFORD AV,L,02/11/2017,11:00:00,931483,0002131989                                             
BEDFORD AV,L,02/11/2017,11:00:00,401557,0000463967                                             
BEDFORD AV,L,02/11/2017,15:00:00,3134824,0001212659                                             
BEDFORD AV,L,02/11/2017,15:00:00,742183,0000783529                                             
BEDFORD AV,L,02/11/2017,15:00:00,18310216,0027403633                                             
BEDFORD AV,L,02/11/2017,15:00:00,15780673,0020258339                                             
BEDFORD AV,L,02/11/2017,15:00:00,12834637,0013760425                                             
BEDFORD AV,L,02/11/2017,15:00:00,21704092,0011486468                                             
BEDFORD AV,L,02/11/2017,15:00:00,6431929,0001290817                                             
BEDFORD AV,L,02/11/2017,15:00:00,67317675,0016782573                                             
BEDFORD AV,L,02/11/2017,15:00:00,117460544,0000004253                                             
BEDFORD AV,L,02/11/2017,15:00:00,1165662,0002546928                                             
BEDFORD AV,L,02/11/2017,15:00:00,37249,0000073984                                             
BEDFORD AV,L,02/11/2017,15:00:00,931650,0002132478                                             
BEDFORD AV,L,02/11/2017,15:00:00,401955,0000464292                                             
BEDFORD AV,L,02/11/2017,19:00:00,3135328,0001212904                                             
BEDFORD AV,L,02/11/2017,19:00:00,742665,0000783964                                             
BEDFORD AV,L,02/11/2017,19:00:00,18310507,0027404466                                             
BEDFORD AV,L,02/11/2017,19:00:00,15780989,0020259040                                             
BEDFORD AV,L,02/11/2017,19:00:00,12835138,0013761105                                             
BEDFORD AV,L,02/11/2017,19:00:00,21705000,0011487053                                             
BEDFORD AV,L,02/11/2017,19:00:00,6433072,0001290964                                             
BEDFORD AV,L,02/11/2017,19:00:00,67317813,0016782591                                             
BEDFORD AV,L,02/11/2017,19:00:00,117460659,0000004281                                             
BEDFORD AV,L,02/11/2017,19:00:00,1165985,0002547931                                             
BEDFORD AV,L,02/11/2017,19:00:00,37532,0000074843                                             
BEDFORD AV,L,02/11/2017,19:00:00,931819,0002133133                                             
BEDFORD AV,L,02/11/2017,19:00:00,402393,0000464898                                             
BEDFORD AV,L,02/11/2017,23:00:00,3135850,0001213156                                             
BEDFORD AV,L,02/11/2017,23:00:00,743039,0000784569                                             
BEDFORD AV,L,02/11/2017,23:00:00,18310780,0027405448                                             
BEDFORD AV,L,02/11/2017,23:00:00,15781288,0020259830                                             
BEDFORD AV,L,02/11/2017,23:00:00,12835653,0013761828                                             
BEDFORD AV,L,02/11/2017,23:00:00,21705828,0011487609                                             
BEDFORD AV,L,02/11/2017,23:00:00,6434261,0001291162                                             
BEDFORD AV,L,02/11/2017,23:00:00,67317927,0016782599                                             
BEDFORD AV,L,02/11/2017,23:00:00,117460760,0000004313                                             
BEDFORD AV,L,02/11/2017,23:00:00,1166239,0002548915                                             
BEDFORD AV,L,02/11/2017,23:00:00,37782,0000075750                                             
BEDFORD AV,L,02/11/2017,23:00:00,932010,0002133803                                             
BEDFORD AV,L,02/11/2017,23:00:00,402732,0000465440                                             
BEDFORD AV,L,02/12/2017,03:00:00,3136246,0001213259                                             
BEDFORD AV,L,02/12/2017,03:00:00,743397,0000784808                                             
BEDFORD AV,L,02/12/2017,03:00:00,18311068,0027405768                                             
BEDFORD AV,L,02/12/2017,03:00:00,15781501,0020260110                                             
BEDFORD AV,L,02/12/2017,03:00:00,12835970,0013762064                                             
BEDFORD AV,L,02/12/2017,03:00:00,21706312,0011487892                                             
BEDFORD AV,L,02/12/2017,03:00:00,6435065,0001291304                                             
BEDFORD AV,L,02/12/2017,03:00:00,67317957,0016782600                                             
BEDFORD AV,L,02/12/2017,03:00:00,117460785,0000004324                                             
BEDFORD AV,L,02/12/2017,03:00:00,1166403,0002549278                                             
BEDFORD AV,L,02/12/2017,03:00:00,37984,0000076042                                             
BEDFORD AV,L,02/12/2017,03:00:00,932129,0002134061                                             
BEDFORD AV,L,02/12/2017,03:00:00,402898,0000465618                                             
BEDFORD AV,L,02/12/2017,07:00:00,3136324,0001213279                                             
BEDFORD AV,L,02/12/2017,07:00:00,743464,0000784850                                             
BEDFORD AV,L,02/12/2017,07:00:00,18311121,0027405823                                             
BEDFORD AV,L,02/12/2017,07:00:00,15781562,0020260165                                             
BEDFORD AV,L,02/12/2017,07:00:00,12836048,0013762119                                             
BEDFORD AV,L,02/12/2017,07:00:00,21706418,0011487963                                             
BEDFORD AV,L,02/12/2017,07:00:00,6435208,0001291360                                             
BEDFORD AV,L,02/12/2017,07:00:00,67317960,0016782600                                             
BEDFORD AV,L,02/12/2017,07:00:00,117460790,0000004325                                             
BEDFORD AV,L,02/12/2017,07:00:00,1166428,0002549330                                             
BEDFORD AV,L,02/12/2017,07:00:00,38016,0000076102                                             
BEDFORD AV,L,02/12/2017,07:00:00,932151,0002134101                                             
BEDFORD AV,L,02/12/2017,07:00:00,402918,0000465643                                             
BEDFORD AV,L,02/12/2017,11:00:00,3136501,0001213336                                             
BEDFORD AV,L,02/12/2017,11:00:00,743565,0000784990                                             
BEDFORD AV,L,02/12/2017,11:00:00,18311169,0027406064                                             
BEDFORD AV,L,02/12/2017,11:00:00,15781608,0020260365                                             
BEDFORD AV,L,02/12/2017,11:00:00,12836145,0013762339                                             
BEDFORD AV,L,02/12/2017,11:00:00,21706585,0011488278                                             
BEDFORD AV,L,02/12/2017,11:00:00,6435585,0001291497                                             
BEDFORD AV,L,02/12/2017,11:00:00,67318007,0016782600                                             
BEDFORD AV,L,02/12/2017,11:00:00,117460812,0000004326                                             
BEDFORD AV,L,02/12/2017,11:00:00,1166562,0002549518                                             
BEDFORD AV,L,02/12/2017,11:00:00,38104,0000076257                                             
BEDFORD AV,L,02/12/2017,11:00:00,932213,0002134228                                             
BEDFORD AV,L,02/12/2017,11:00:00,403072,0000465707                                             
BEDFORD AV,L,02/12/2017,15:00:00,3136933,0001213453                                             
BEDFORD AV,L,02/12/2017,15:00:00,743874,0000785389                                             
BEDFORD AV,L,02/12/2017,15:00:00,18311335,0027406755                                             
BEDFORD AV,L,02/12/2017,15:00:00,15781801,0020260935                                             
BEDFORD AV,L,02/12/2017,15:00:00,12836477,0013762859                                             
BEDFORD AV,L,02/12/2017,15:00:00,21707197,0011488787                                             
BEDFORD AV,L,02/12/2017,15:00:00,6436616,0001291683                                             
BEDFORD AV,L,02/12/2017,15:00:00,67318128,0016782603                                             
BEDFORD AV,L,02/12/2017,15:00:00,117460868,0000004342                                             
BEDFORD AV,L,02/12/2017,15:00:00,1166830,0002550126                                             
BEDFORD AV,L,02/12/2017,15:00:00,38302,0000076775                                             
BEDFORD AV,L,02/12/2017,15:00:00,932416,0002134605                                             
