STATION,LINENAME,DATE,TIME,ENTRIES,EXITS
BEDFORD AV,L,02/11/2017,03:00:00,3133992,0001212388                                             
BEDFORD AV,L,02/11/2017,07:00:00,3134118,0001212410                                             
BEDFORD AV,L,02/11/2017,11:00:00,3134432,0001212477                                             
BEDFORD AV,L,02/11/2017,15:00:00,3134824,0001212659                                             
BEDFORD AV,L,02/11/2017,19:00:00,3135328,0001212904                                             
BEDFORD AV,L,02/11/2017,23:00:00,3135850,0001213156                                             
BEDFORD AV,L,02/12/2017,03:00:00,3136246,0001213259                                             
BEDFORD AV,L,02/12/2017,07:00:00,3136324,0001213279                                             
BEDFORD AV,L,02/12/2017,11:00:00,3136501,0001213336                                             
BEDFORD AV,L,02/12/2017,15:00:00,3136933,0001213453                                             
BEDFORD AV,L,02/12/2017,19:00:00,3137465,0001213636                                             
BEDFORD AV,L,02/12/2017,23:00:00,3137747,0001213735                                             
BEDFORD AV,L,02/13/2017,03:00:00,3137864,0001213762                                             
BEDFORD AV,L,02/13/2017,07:00:00,3137962,0001213795                                             
BEDFORD AV,L,02/13/2017,11:00:00,3138972,0001213922                                             
BEDFORD AV,L,02/13/2017,15:00:00,3139400,0001214050                                             
BEDFORD AV,L,02/13/2017,19:00:00,3140000,0001214464                                             
BEDFORD AV,L,02/13/2017,23:00:00,3140328,0001214816                                             
BEDFORD AV,L,02/14/2017,03:00:00,3140455,0001214851                                             
BEDFORD AV,L,02/14/2017,07:00:00,3140551,0001214895                                             
BEDFORD AV,L,02/14/2017,11:00:00,3141607,0001215028                                             
BEDFORD AV,L,02/14/2017,15:00:00,3142027,0001215164                                             
BEDFORD AV,L,02/14/2017,19:00:00,3142700,0001215690                                             
BEDFORD AV,L,02/14/2017,23:00:00,3143111,0001216037                                             
BEDFORD AV,L,02/15/2017,03:00:00,3143450,0001216091                                             
BEDFORD AV,L,02/15/2017,07:00:00,3143550,0001216121                                             
BEDFORD AV,L,02/15/2017,11:00:00,3144761,0001216240                                             
BEDFORD AV,L,02/15/2017,15:00:00,3145232,0001216373                                             
BEDFORD AV,L,02/15/2017,19:00:00,3145893,0001216832                                             
BEDFORD AV,L,02/15/2017,23:00:00,3146291,0001217229                                             
BEDFORD AV,L,02/16/2017,03:00:00,3146533,0001217260                                             
BEDFORD AV,L,02/16/2017,07:00:00,3146651,0001217291                                             
BEDFORD AV,L,02/16/2017,11:00:00,3147775,0001217424                                             
BEDFORD AV,L,02/16/2017,15:00:00,3148221,0001217542                                             
BEDFORD AV,L,02/16/2017,19:00:00,3148894,0001217997                                             
BEDFORD AV,L,02/16/2017,23:00:00,3149310,0001218366                                             
BEDFORD AV,L,02/17/2017,03:00:00,3149467,0001218434                                             
BEDFORD AV,L,02/17/2017,07:00:00,3149589,0001218461                                             
BEDFORD AV,L,02/17/2017,11:00:00,3150647,0001218651                                             
BEDFORD AV,L,02/17/2017,15:00:00,3151192,0001218790                                             
BEDFORD AV,L,02/17/2017,19:00:00,3151885,0001219304                                             
BEDFORD AV,L,02/17/2017,23:00:00,3152420,0001219626                                             
BEDFORD AV,L,02/11/2017,03:00:00,741611,0000782884                                             
BEDFORD AV,L,02/11/2017,07:00:00,741706,0000782937                                             
BEDFORD AV,L,02/11/2017,11:00:00,741866,0000783139                                             
BEDFORD AV,L,02/11/2017,15:00:00,742183,0000783529                                             
BEDFORD AV,L,02/11/2017,19:00:00,742665,0000783964                                             
BEDFORD AV,L,02/11/2017,23:00:00,743039,0000784569                                             
BEDFORD AV,L,02/12/2017,03:00:00,743397,0000784808                                             
BEDFORD AV,L,02/12/2017,07:00:00,743464,0000784850                                             
BEDFORD AV,L,02/12/2017,11:00:00,743565,0000784990                                             
BEDFORD AV,L,02/12/2017,15:00:00,743874,0000785389                                             
BEDFORD AV,L,02/12/2017,19:00:00,744290,0000785887                                             
BEDFORD AV,L,02/12/2017,23:00:00,744533,0000786125                                             
BEDFORD AV,L,02/13/2017,03:00:00,744636,0000786176                                             
BEDFORD AV,L,02/13/2017,07:00:00,744698,0000786243                                             
