C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/11/2017,03:00:00,REGULAR,3133992,0001212388                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/11/2017,07:00:00,REGULAR,3134118,0001212410                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/11/2017,11:00:00,REGULAR,3134432,0001212477                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/11/2017,15:00:00,REGULAR,3134824,0001212659                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/11/2017,19:00:00,REGULAR,3135328,0001212904                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/11/2017,23:00:00,REGULAR,3135850,0001213156                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/12/2017,03:00:00,REGULAR,3136246,0001213259                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/12/2017,07:00:00,REGULAR,3136324,0001213279                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/12/2017,11:00:00,REGULAR,3136501,0001213336                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/12/2017,15:00:00,REGULAR,3136933,0001213453                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/12/2017,19:00:00,REGULAR,3137465,0001213636                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/12/2017,23:00:00,REGULAR,3137747,0001213735                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/13/2017,03:00:00,REGULAR,3137864,0001213762                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/13/2017,07:00:00,REGULAR,3137962,0001213795                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/13/2017,11:00:00,REGULAR,3138972,0001213922                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/13/2017,15:00:00,REGULAR,3139400,0001214050                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/13/2017,19:00:00,REGULAR,3140000,0001214464                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/13/2017,23:00:00,REGULAR,3140328,0001214816                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/14/2017,03:00:00,REGULAR,3140455,0001214851                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/14/2017,07:00:00,REGULAR,3140551,0001214895                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/14/2017,11:00:00,REGULAR,3141607,0001215028                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/14/2017,15:00:00,REGULAR,3142027,0001215164                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/14/2017,19:00:00,REGULAR,3142700,0001215690                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/14/2017,23:00:00,REGULAR,3143111,0001216037                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/15/2017,03:00:00,REGULAR,3143450,0001216091                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/15/2017,07:00:00,REGULAR,3143550,0001216121                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/15/2017,11:00:00,REGULAR,3144761,0001216240                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/15/2017,15:00:00,REGULAR,3145232,0001216373                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/15/2017,19:00:00,REGULAR,3145893,0001216832                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/15/2017,23:00:00,REGULAR,3146291,0001217229                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/16/2017,03:00:00,REGULAR,3146533,0001217260                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/16/2017,07:00:00,REGULAR,3146651,0001217291                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/16/2017,11:00:00,REGULAR,3147775,0001217424                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/16/2017,15:00:00,REGULAR,3148221,0001217542                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/16/2017,19:00:00,REGULAR,3148894,0001217997                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/16/2017,23:00:00,REGULAR,3149310,0001218366                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/17/2017,03:00:00,REGULAR,3149467,0001218434                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/17/2017,07:00:00,REGULAR,3149589,0001218461                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/17/2017,11:00:00,REGULAR,3150647,0001218651                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/17/2017,15:00:00,REGULAR,3151192,0001218790                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/17/2017,19:00:00,REGULAR,3151885,0001219304                                             
H009,R235,00-00-00,BEDFORD AV,L,BMT,02/17/2017,23:00:00,REGULAR,3152420,0001219626                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/11/2017,03:00:00,REGULAR,741611,0000782884                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/11/2017,07:00:00,REGULAR,741706,0000782937                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/11/2017,11:00:00,REGULAR,741866,0000783139                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/11/2017,15:00:00,REGULAR,742183,0000783529                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/11/2017,19:00:00,REGULAR,742665,0000783964                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/11/2017,23:00:00,REGULAR,743039,0000784569                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/12/2017,03:00:00,REGULAR,743397,0000784808                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/12/2017,07:00:00,REGULAR,743464,0000784850                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/12/2017,11:00:00,REGULAR,743565,0000784990                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/12/2017,15:00:00,REGULAR,743874,0000785389                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/12/2017,19:00:00,REGULAR,744290,0000785887                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/12/2017,23:00:00,REGULAR,744533,0000786125                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/13/2017,03:00:00,REGULAR,744636,0000786176                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/13/2017,07:00:00,REGULAR,744698,0000786243                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/13/2017,11:00:00,REGULAR,745458,0000786507                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/13/2017,15:00:00,REGULAR,745741,0000786826                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/13/2017,19:00:00,REGULAR,746212,0000787747                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/13/2017,23:00:00,REGULAR,746453,0000788466                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/14/2017,03:00:00,REGULAR,746542,0000788541                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/14/2017,07:00:00,REGULAR,746601,0000788611                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/14/2017,11:00:00,REGULAR,747420,0000788915                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/14/2017,15:00:00,REGULAR,747698,0000789229                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/14/2017,19:00:00,REGULAR,748156,0000790320                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/14/2017,23:00:00,REGULAR,748491,0000791071                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/15/2017,03:00:00,REGULAR,748791,0000791206                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/15/2017,07:00:00,REGULAR,748857,0000791280                                             
H009,R235,00-00-01,BEDFORD AV,L,BMT,02/15/2017,11:00:00,REGULAR,749608,0000791594                                             
