Created Date,Created Time,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Borough
1/1/10,0:59,Noise - Residential,Loud Music/Party,Residential Building/House,10013,37 VESTRY STREET,VESTRY STREET,HUDSON STREET,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/1/10,4:43,Noise - Commercial,Loud Music/Party,Store/Commercial,10013,56 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
1/2/10,0:05,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,,,,,HUDSON STREET,HARRISON STREET,INTERSECTION,NEW YORK,,MANHATTAN
1/4/10,22:34,Noise - Residential,Loud Music/Party,Residential Building/House,10005,75 WALL STREET,WALL STREET,GOUVERNEUR LANE,WALL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/5/10,7:03,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10038,,,,,FULTON STREET,GOLD STREET,INTERSECTION,NEW YORK,,MANHATTAN
1/6/10,17:45,Noise - Residential,Loud Music/Party,Residential Building/House,10013,65 LEONARD STREET,LEONARD STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
1/7/10,2:34,Noise - Commercial,Loud Music/Party,Store/Commercial,10013,172 DUANE STREET,DUANE STREET,HUDSON STREET,BEND,,,ADDRESS,NEW YORK,,MANHATTAN
1/7/10,21:23,Noise - Residential,Banging/Pounding,Residential Building/House,10007,295 GREENWICH STREET,GREENWICH STREET,WARREN STREET,CHAMBERS STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/8/10,5:30,Noise - Residential,Loud Music/Party,Residential Building/House,10006,88 GREENWICH STREET,GREENWICH STREET,EDGAR STREET,RECTOR STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/8/10,22:31,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10007,78 READE STREET,READE STREET,BROADWAY,CHURCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/9/10,2:12,Noise - Commercial,Loud Music/Party,Store/Commercial,10007,,,,,READE STREET,CHURCH STREET,INTERSECTION,NEW YORK,,MANHATTAN
1/9/10,4:57,Noise - Residential,Loud Talking,Residential Building/House,10038,100 JOHN STREET,JOHN STREET,GOLD STREET,CLIFF STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/9/10,14:23,Noise - Commercial,Loud Music/Party,Store/Commercial,10006,110 GREENWICH STREET,GREENWICH STREET,RECTOR STREET,CARLISLE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/10/10,1:14,Noise - Residential,Loud Music/Party,Residential Building/House,10013,56 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
1/11/10,1:05,Noise - Residential,Loud Music/Party,Residential Building/House,10004,21 WEST STREET,WEST STREET,2 PLACE,MORRIS STREET,,,ADDRESS,NEW YORK,,MANHATTAN
